plasmid	community
pIH290_0.23	community_0
pIH290_84	community_0
pIH359_178	community_0
pIH359_23	community_0
pIH359_51	community_0
pReSeq_VA61_41	community_0
pVA1046_199	community_0
pVA1184_286	community_0
pVA1393_58	community_0
pVA1505_61	community_0
pVA1565_200	community_0
pVA1626_57	community_0
pVA1626_87	community_0
pVA1686_57	community_0
pVA1722_58	community_0
pVA1788_21	community_0
pVA1788_53	community_0
pVA1825_57	community_0
pVA1835_58_B	community_0
pVA2588_87	community_0
pVA2589_21	community_0
pVA2589_86	community_0
pVA2589_99	community_0
pVA2682_199	community_0
pVA2682_52	community_0
pVA2817_112	community_0
pVA3495_43	community_0
pVA418_110	community_0
pVA436_52	community_0
pVA524_58	community_0
pVA527_214	community_0
pVA527_58	community_0
pVA528_281	community_0
pVA528_44	community_0
pVA544_51	community_0
pVA544_8	community_0
pVA569_107	community_0
pVA585_53	community_0
pVA605_296	community_0
pVA61_57	community_0
pVA634_102	community_0
pVA634_75	community_0
pVA692_270	community_0
pVA754_57	community_0
pVA765_275	community_0
pVA767_57	community_0
pVA791_270	community_0
pVA791_57	community_0
pIH290_0.28	community_0
pVA1101_139	community_0
pIH290_0.3	community_0
pIH290_3	community_0
pVA1046_5	community_0
pVA1565_5	community_0
pVA2817_6	community_0
pVA569_68	community_0
pVA634_6	community_0
pIH290_60	community_0
pVA1046_46	community_0
pVA1101_40	community_0
pVA1101_4	community_0
pVA1101_5	community_0
pVA1393_45	community_0
pVA1505_46	community_0
pVA1565_46	community_0
pVA1626_45	community_0
pVA1686_54	community_0
pVA1722_46	community_0
pVA1825_54	community_0
pVA1835_58_A	community_0
pVA2067_45	community_0
pVA2464_46	community_0
pVA418_56	community_0
pVA436_54	community_0
pVA524_46	community_0
pVA527_45	community_0
pVA605_91	community_0
pVA634_54	community_0
pVA692_45	community_0
pVA765_0.7	community_0
pVA765_45	community_0
pVA767_46	community_0
pIH290_6	community_0
pVA1626_4	community_0
pVA418_38	community_0
pVA524_4_A	community_0
pVA524_4_B	community_0
pIH290_7	community_0
pVA1686_2	community_0
pVA1825_2	community_0
pVA436_1	community_0
pVA634_2	community_0
pVA544_3	community_0
pVA765_1_A	community_0
pIH359_74	community_0
pVA2817_210	community_0
pVA418_180	community_0
pVA754_184	community_0
pVA767_225	community_0
pIH359_5	community_0
pVA1393_9	community_0
pVA2464_5	community_0
pVA2682_9	community_0
pReSeq_VA61_1	community_0
pReSeq_VA61_4	community_0
pVA569_47	community_0
pVA754_27	community_0
pVA765_1_B	community_0
pVA765_4_B	community_0
pVA524_189	community_0
pReSeq_VA61_10	community_0
pReSeq_VA61_126_A	community_0
pVA61_126	community_0
pReSeq_VA61_126_B	community_0
pVA1722_375	community_0
pVA1835_363	community_0
pVA2067_271	community_0
pVA634_271	community_0
pVA791_17	community_0
pVA1046_41	community_0
pVA1101_21	community_0
pVA1626_171	community_0
pVA2464_160	community_0
pVA2464_7	community_0
pVA1565_35	community_0
pVA765_4_A	community_0
pVA791_4	community_0
pVA1101_2	community_0
pVA2817_162	community_0
pVA1505_371	community_0
pVA1626_271	community_0
pVA3495_318	community_0
pVA1626_2	community_0
pVA2067_2	community_0
pVA528_2	community_0
pVA692_2	community_0
pVA754_9	community_0
pVA2067_4	community_0
pVA2588_5	community_0
pVA692_4	community_0
pVA436_2_A	community_0
pVA1788_57	community_0
pVA1835_189	community_0
pVA3495_148	community_0
pVA754_5	community_0
pVA524_199	community_0
pVA527_3	community_0
pVA754_4	community_0
pVA528_96	community_0
pVA605_65	community_0
pVA754_3	community_0
pVA765_74	community_0
pVA1825_122	community_1
pVA1686_122	community_1
pVA765_72	community_2
pVA791_75	community_2
pIH359_36	community_3
pVA1184_82	community_4
pVA1505_2	community_5
pVA1835_14	community_6
pVA1835_4	community_7
pVA1835_6	community_8
pVA2817_1	community_9
pVA2817_5	community_10
pVA3495_29	community_11
pVA3495_4	community_12
pVA436_0.1	community_13
pVA436_2_B	community_14
pVA436_41	community_15
pVA524_5	community_16
pVA585_226	community_17
pVA634_25	community_18
pVA634_3	community_19
pVA634_4	community_20
